"hou_wgt";"hou_mbr";"hou_roo";"hou_inc";"hou_agr";"hea";"hea_age";"hea_sex";"loc_dep";"loc_urb";"loc_rur";"hou_inc_mbr"
117,544191734971;8;1;20000;"Only";TRUE;65;"Female";"ALIBORI";FALSE;TRUE;2500
116,5713468546;4;1;20000;"Only";TRUE;40;"Male";"ALIBORI";FALSE;TRUE;5000
116,5713468546;9;3;125000;"Only";TRUE;35;"Male";"ALIBORI";FALSE;TRUE;13888,8888888889
207,503241055949;7;3;20000;"Only";TRUE;28;"Male";"ALIBORI";FALSE;TRUE;2857,14285714286
207,503241055949;7;4;20000;"Only";TRUE;20;"Male";"ALIBORI";FALSE;TRUE;2857,14285714286
566,247996721851;7;5;20000;"Only";TRUE;25;"Male";"ALIBORI";TRUE;FALSE;2857,14285714286
566,247996721851;2;1;20000;"None";TRUE;38;"Female";"ALIBORI";TRUE;FALSE;10000
261,653548495458;8;3;75000;"Only";TRUE;45;"Male";"ALIBORI";FALSE;TRUE;9375
288,473037216242;4;3;20000;"Only";TRUE;24;"Male";"ALIBORI";FALSE;TRUE;5000
288,473037216242;8;4;45000;"Only";TRUE;47;"Male";"ALIBORI";FALSE;TRUE;5625
288,473037216242;6;3;125000;"Partly";TRUE;38;"Male";"ALIBORI";FALSE;TRUE;20833,3333333333
288,473037216242;2;1;45000;"Partly";TRUE;20;"Female";"ALIBORI";FALSE;TRUE;22500
254,786499971666;2;1;20000;"Only";FALSE;60;"Male";"ALIBORI";FALSE;TRUE;10000
254,786499971666;4;2;75000;"Partly";TRUE;28;"Female";"ALIBORI";FALSE;TRUE;18750
254,786499971666;11;5;45000;"Only";TRUE;58;"Male";"ALIBORI";FALSE;TRUE;4090,90909090909
252,563314874966;9;4;75000;"Only";TRUE;65;"Male";"ALIBORI";FALSE;TRUE;8333,33333333333
252,563314874966;15;4;45000;"Partly";TRUE;57;"Male";"ALIBORI";FALSE;TRUE;3000
252,563314874966;3;1;20000;"Only";TRUE;30;"Male";"ALIBORI";FALSE;TRUE;6666,66666666667
161,332055742993;3;1;20000;"Only";TRUE;30;"Male";"ALIBORI";FALSE;TRUE;6666,66666666667
99,3636427594034;1;1;20000;"Only";TRUE;29;"Male";"ALIBORI";FALSE;TRUE;20000
457,124140606771;3;3;20000;"Partly";TRUE;75;"Male";"ALIBORI";FALSE;TRUE;6666,66666666667
457,124140606771;10;2;20000;"Partly";TRUE;34;"Male";"ALIBORI";FALSE;TRUE;2000
457,124140606771;3;2;45000;"Only";TRUE;50;"Female";"ALIBORI";FALSE;TRUE;15000
293,690289870631;9;2;20000;"Only";TRUE;28;"Female";"ALIBORI";FALSE;TRUE;2222,22222222222
293,690289870631;5;2;20000;"None";TRUE;50;"Female";"ALIBORI";FALSE;TRUE;4000
293,690289870631;8;3;20000;"Only";TRUE;17;"Female";"ALIBORI";FALSE;TRUE;2500
190,714952944626;3;3;20000;"Only";TRUE;25;"Female";"ALIBORI";FALSE;TRUE;6666,66666666667
190,714952944626;10;3;20000;"Only";TRUE;41;"Male";"ALIBORI";FALSE;TRUE;2000
297,852651708918;7;4;20000;"Only";TRUE;25;"Male";"ALIBORI";FALSE;TRUE;2857,14285714286
297,852651708918;6;4;20000;"Only";TRUE;16;"Male";"ALIBORI";FALSE;TRUE;3333,33333333333
468,930850517183;7;1;20000;"Only";TRUE;40;"Male";"ALIBORI";TRUE;FALSE;2857,14285714286
115,408449628102;5;2;125000;"Only";TRUE;32;"Male";"ALIBORI";FALSE;TRUE;25000
115,408449628102;4;1;20000;"Only";FALSE;35;"Male";"ALIBORI";FALSE;TRUE;5000
132,377684382214;10;2;75000;"Only";FALSE;53;"Male";"ALIBORI";FALSE;TRUE;7500
413,477774320095;11;3;20000;"Only";TRUE;50;"Female";"ALIBORI";TRUE;FALSE;1818,18181818182
413,477774320095;4;3;20000;"Only";FALSE;28;"Male";"ALIBORI";TRUE;FALSE;5000
269,420555561285;7;4;75000;"Partly";TRUE;25;"Female";"ALIBORI";FALSE;TRUE;10714,2857142857
311,966835974842;5;2;20000;"Only";TRUE;20;"Female";"ALIBORI";FALSE;TRUE;4000
311,966835974842;7;3;125000;"Partly";TRUE;28;"Female";"ALIBORI";FALSE;TRUE;17857,1428571429
242,79400206324;11;1;45000;"Partly";TRUE;18;"Male";"ALIBORI";FALSE;TRUE;4090,90909090909
234,384342738197;3;1;45000;"Only";TRUE;27;"Male";"ALIBORI";FALSE;TRUE;15000
234,384342738197;4;1;45000;"Partly";TRUE;19;"Female";"ALIBORI";FALSE;TRUE;11250
234,384342738197;6;4;20000;"Only";TRUE;25;"Male";"ALIBORI";FALSE;TRUE;3333,33333333333
375,628780743542;9;3;250000;"Partly";TRUE;39;"Male";"ALIBORI";TRUE;FALSE;27777,7777777778
375,628780743542;6;2;125000;"Partly";TRUE;44;"Male";"ALIBORI";TRUE;FALSE;20833,3333333333
161,359005652552;8;5;75000;"None";TRUE;15;"Female";"ATACORA";FALSE;TRUE;9375
161,359005652552;13;6;45000;"Partly";FALSE;58;"Male";"ATACORA";FALSE;TRUE;3461,53846153846
273,998966306429;4;3;45000;"Only";FALSE;54;"Male";"ATACORA";FALSE;TRUE;11250
273,998966306429;8;4;75000;"Partly";TRUE;15;"Female";"ATACORA";FALSE;TRUE;9375
273,998966306429;9;5;75000;"Partly";TRUE;37;"Female";"ATACORA";FALSE;TRUE;8333,33333333333
182,114793069802;8;4;45000;"Partly";TRUE;20;"Male";"ATACORA";FALSE;TRUE;5625
182,114793069802;5;3;45000;"Only";FALSE;25;"Male";"ATACORA";FALSE;TRUE;9000
182,114793069802;10;5;75000;"Partly";TRUE;28;"Male";"ATACORA";FALSE;TRUE;7500
182,114793069802;9;6;125000;"Only";TRUE;23;"Female";"ATACORA";FALSE;TRUE;13888,8888888889
448,79955622806;6;3;20000;"Partly";FALSE;29;"Male";"ATACORA";TRUE;FALSE;3333,33333333333
448,79955622806;7;3;45000;"Only";TRUE;27;"Female";"ATACORA";TRUE;FALSE;6428,57142857143
249,711495361593;10;4;125000;"Only";FALSE;47;"Male";"ATACORA";FALSE;TRUE;12500
282,225214874682;6;4;125000;"None";TRUE;22;"Female";"ATACORA";FALSE;TRUE;20833,3333333333
282,225214874682;4;1;20000;"Only";FALSE;21;"Female";"ATACORA";FALSE;TRUE;5000
170,333501043091;6;3;20000;"Partly";TRUE;45;"Female";"ATACORA";FALSE;TRUE;3333,33333333333
170,333501043091;8;5;45000;"Only";FALSE;46;"Male";"ATACORA";FALSE;TRUE;5625
196,241314231025;6;2;125000;"Only";TRUE;45;"Male";"ATACORA";FALSE;TRUE;20833,3333333333
196,241314231025;10;6;45000;"Partly";TRUE;32;"Male";"ATACORA";FALSE;TRUE;4500
196,241314231025;10;4;45000;"Only";TRUE;35;"Female";"ATACORA";FALSE;TRUE;4500
196,241314231025;7;3;45000;"Only";TRUE;33;"Male";"ATACORA";FALSE;TRUE;6428,57142857143
302,513044938849;9;3;75000;"Only";FALSE;37;"Male";"ATACORA";TRUE;FALSE;8333,33333333333
302,513044938849;5;2;45000;"Only";FALSE;38;"Male";"ATACORA";TRUE;FALSE;9000
302,513044938849;4;2;45000;"Only";TRUE;27;"Female";"ATACORA";TRUE;FALSE;11250
184,089348791159;6;3;20000;"Only";TRUE;18;"Female";"ATACORA";FALSE;TRUE;3333,33333333333
184,089348791159;3;2;75000;"Only";TRUE;40;"Male";"ATACORA";FALSE;TRUE;25000
184,089348791159;3;3;45000;"Only";TRUE;19;"Female";"ATACORA";FALSE;TRUE;15000
184,089348791159;8;5;75000;"Only";TRUE;28;"Male";"ATACORA";FALSE;TRUE;9375
184,089348791159;11;4;75000;"Only";FALSE;42;"Male";"ATACORA";FALSE;TRUE;6818,18181818182
164,221169074065;7;3;75000;"Only";TRUE;54;"Male";"ATACORA";FALSE;TRUE;10714,2857142857
164,221169074065;4;2;45000;"Only";FALSE;35;"Male";"ATACORA";FALSE;TRUE;11250
218,209357403314;8;5;45000;"Only";FALSE;63;"Male";"ATACORA";FALSE;TRUE;5625
218,209357403314;11;4;45000;"Only";TRUE;38;"Female";"ATACORA";FALSE;TRUE;4090,90909090909
288,079462629621;4;3;45000;"Only";TRUE;28;"Male";"ATACORA";TRUE;FALSE;11250
288,079462629621;7;4;45000;"Only";TRUE;38;"Male";"ATACORA";TRUE;FALSE;6428,57142857143
662,357687266917;3;1;35000;"None";TRUE;29;"Male";"ATLANTIQUE";TRUE;FALSE;11666,6666666667
160,693148986598;9;2;45000;"Partly";TRUE;36;"Female";"ATLANTIQUE";TRUE;FALSE;5000
515,236064134528;1;1;20000;"None";TRUE;45;"Female";"ATLANTIQUE";TRUE;FALSE;20000
180,465110109927;4;2;20000;"None";TRUE;33;"Male";"ATLANTIQUE";TRUE;FALSE;5000
774,969081554537;7;2;30000;"None";TRUE;33;"Male";"ATLANTIQUE";FALSE;TRUE;4285,71428571429
774,969081554537;5;2;45000;"None";TRUE;38;"Male";"ATLANTIQUE";FALSE;TRUE;9000
774,969081554537;5;1;70000;"None";FALSE;32;"Male";"ATLANTIQUE";FALSE;TRUE;14000
111,889377501279;4;1;75000;"None";TRUE;29;"Female";"ATLANTIQUE";FALSE;TRUE;18750
102,431640788881;1;1;20000;"None";TRUE;29;"Male";"ATLANTIQUE";FALSE;TRUE;20000
